year,month,pds_transmission_distribution_and_other_losses1,pds_setc_england_and_wales,pds_setc_scotland,pds_setc_northern_ireland,pds_setc_total
2010,1,3.2,28.21,2.27,0.89,31.36
2010,2,3.66,24.59,1.33,0.78,26.7
2010,3,0.47,27.0,3.12,0.84,30.95
2010,4,2.17,23.19,1.09,0.7,24.98
2010,5,3.04,22.0,1.06,0.72,23.78
2010,6,1.13,21.69,1.73,0.66,24.08
2010,7,1.35,22.13,1.67,0.65,24.46
2010,8,2.18,21.23,1.18,0.69,23.1
2010,9,2.71,21.37,1.16,0.64,23.17
2010,10,2.64,23.81,1.28,0.7,25.79
2010,11,2.15,25.64,2.2,0.79,28.63
2010,12,2.18,29.5,2.53,0.89,32.93
2011,1,2.8,27.84,2.32,0.82,30.98
2011,2,4.4,22.92,1.24,0.69,24.86
2011,3,1.25,25.75,3.26,0.74,29.75
2011,4,1.14,22.33,1.8,0.63,24.76
2011,5,2.64,21.74,1.09,0.66,23.5
2011,6,2.61,21.15,1.08,0.63,22.85
2011,7,2.35,20.73,1.7,0.61,23.03
2011,8,2.04,20.76,2.21,0.62,23.59
2011,9,1.95,21.01,2.24,0.64,23.89
2011,10,1.63,22.66,2.5,0.69,25.86
2011,11,2.61,23.15,2.58,0.7,26.42
2011,12,2.57,24.93,2.85,0.78,28.56
2012,1,3.07,25.35,2.56,0.75,28.66
2012,2,2.93,24.44,2.53,0.68,27.66
2012,3,2.09,23.92,2.56,0.68,27.16
2012,4,3.15,21.29,2.31,0.63,24.23
2012,5,2.2,21.89,2.35,0.61,24.86
2012,6,1.8,20.17,2.15,0.62,22.94
2012,7,2.25,20.47,2.1,0.57,23.15
2012,8,1.88,20.67,2.15,0.6,23.42
2012,9,2.07,20.56,2.2,0.59,23.36
2012,10,2.23,23.14,2.45,0.69,26.28
2012,11,1.84,24.41,2.65,0.75,27.81
2012,12,2.75,25.38,2.74,0.77,28.89
2013,1,2.92,26.07,2.67,0.76,29.5
2013,2,2.6,23.65,2.49,0.66,26.79
2013,3,2.89,25.3,2.83,0.72,28.85
2013,4,2.68,22.11,2.41,0.62,25.15
2013,5,1.89,21.1,2.36,0.63,24.09
2013,6,1.64,19.61,2.11,0.6,22.31
2013,7,1.79,20.52,2.11,0.6,23.23
2013,8,1.53,20.27,2.13,0.6,23.0
2013,9,1.89,20.44,2.35,0.61,23.39
2013,10,1.95,22.66,2.26,0.65,25.57
2013,11,2.4,23.85,2.55,0.66,27.06
2013,12,2.25,24.5,2.61,0.68,27.79
2014,1,3.03,24.78,2.64,0.69,28.11
2014,2,2.42,22.29,2.49,0.61,25.4
2014,3,2.5,23.19,2.6,0.53,26.32
2014,4,2.34,20.42,2.2,0.54,23.17
2014,5,1.95,20.46,2.07,0.55,23.09
2014,6,1.58,19.41,1.95,0.54,21.89
2014,7,1.64,20.06,1.95,0.51,22.52
2014,8,1.51,19.58,1.93,0.52,22.02
2014,9,2.09,19.89,1.96,0.54,22.39
2014,10,2.25,21.55,2.23,0.58,24.36
2014,11,2.95,22.17,2.28,0.59,25.04
2014,12,3.19,23.66,2.55,0.62,26.84
2015,1,3.68,24.51,2.65,0.71,27.87
2015,2,3.16,22.52,2.39,0.64,25.55
2015,3,2.78,23.33,2.51,0.66,26.51
2015,4,2.04,20.6,2.16,0.59,23.35
2015,5,1.95,20.23,2.14,0.59,22.96
2015,6,1.84,19.19,1.99,0.57,21.75
2015,7,1.38,20.19,1.94,0.56,22.69
2015,8,1.97,19.34,1.87,0.56,21.77
2015,9,2.05,19.84,1.97,0.59,22.4
2015,10,2.83,21.29,2.15,0.64,24.07
2015,11,2.67,22.29,2.3,0.66,25.25
2015,12,2.32,22.72,2.45,0.67,25.83
2016,1,3.34,23.99,2.47,0.66,27.13
2016,2,2.84,22.6,2.33,0.65,25.58
2016,3,2.61,23.21,2.31,0.65,26.18
2016,4,2.74,20.67,2.1,0.6,23.37
2016,5,1.76,19.63,2.0,0.58,22.21
2016,6,1.52,19.05,1.84,0.56,21.44
2016,7,1.5,19.37,1.83,0.56,21.75
2016,8,1.56,19.18,1.87,0.57,21.61
2016,9,2.03,19.39,1.88,0.6,21.87
2016,10,1.69,21.5,2.13,0.64,24.27
2016,11,2.58,23.13,2.39,0.69,26.21
2016,12,2.54,23.38,2.46,0.67,26.51
2017,1,3.68,24.26,2.5,0.72,27.48
2017,2,2.61,21.43,2.24,0.64,24.31
2017,3,2.21,21.45,2.36,0.67,24.48
2017,4,1.95,19.75,1.99,0.59,22.32
2017,5,2.02,19.77,1.91,0.58,22.26
2017,6,1.76,18.56,1.83,0.57,20.96
2017,7,1.68,19.04,1.81,0.56,21.41
2017,8,1.71,18.97,1.81,0.58,21.36
2017,9,1.87,19.42,1.9,0.6,21.91
2017,10,2.08,20.52,2.11,0.63,23.25
2017,11,2.2,22.76,2.31,0.67,25.73
2017,12,2.43,24.08,2.44,0.66,27.18
2018,1,3.65,23.29,2.49,0.72,26.49
2018,2,2.74,22.13,2.25,0.63,25.01
2018,3,2.63,23.86,2.39,0.66,26.91
2018,4,2.42,20.47,1.86,0.62,22.94
2018,5,1.85,19.08,1.92,0.56,21.56
2018,6,1.69,18.09,1.77,0.56,20.42
2018,7,1.69,19.15,1.82,0.57,21.55
2018,8,1.65,18.94,1.8,0.57,21.32
