index	1998-1	1998-2	1998-3	1998-4	1999-1	1999-2	1999-3	1999-4	2000-1	2000-2	2000-3	2000-4	2001-1	2001-2	2001-3	2001-4	2002-1	2002-2	2002-3	2002-4	2003-1	2003-2	2003-3	2003-4	2004-1	2004-2	2004-3	2004-4	2005-1	2005-2	2005-3	2005-4	2006-1	2006-2	2006-3	2006-4	2007-1	2007-2	2007-3	2007-4	2008-1	2008-2	2008-3	2008-4	2009-1	2009-2	2009-3	2009-4	2010-1	2010-2	2010-3	2010-4	2011-1	2011-2	2011-3	2011-4	2012-1	2012-2	2012-3	2012-4	2013-1	2013-2	2013-3	2013-4	2014-1	2014-2	2014-3	2014-4	2015-1	2015-2	2015-3	2015-4	2016-1	2016-2	2016-3	2016-4	2017-1	2017-2	2017-3	2017-4	2018-1	2018-2
fuel_used_coal	8,73 	6,93 	6,70 	7,75 	7,38 	5,47 	5,44 	7,23 	7,73 	6,35 	6,20 	8,38 	9,73 	7,06 	6,37 	8,45 	8,94 	5,73 	6,01 	8,94 	9,60 	7,10 	6,47 	9,37 	9,82 	6,13 	6,22 	9,14 	10,19 	6,65 	5,55 	10,18 	11,88 	7,33 	6,81 	9,93 	9,38 	6,23 	6,64 	10,68 	8,60 	6,65 	5,59 	9,12 	9,40 	4,87 	3,96 	6,43 	7,64 	4,66 	4,83 	8,44 	8,36 	4,61 	4,65 	8,41 	10,04 	7,45 	7,01 	9,83 	9,90 	6,87	6,48	8,10	8,27	5,27	3,88	6,55	7,06	3,85	3,15	4,28	3,58	1,13	0,74	2,09	2,49	0,41	0,55	2,11	2,17	0,33
fuel_used_oil	0,57 	0,38 	0,36 	0,39 	0,51 	0,30 	0,35 	0,38 	0,39 	0,34 	0,39 	0,42 	0,45 	0,29 	0,28 	0,40 	0,37 	0,24 	0,27 	0,40 	0,42 	0,24 	0,25 	0,28 	0,33 	0,27 	0,22 	0,28 	0,39 	0,19 	0,22 	0,51 	0,70 	0,21 	0,22 	0,30 	0,30 	0,26 	0,22 	0,38 	0,27 	0,32 	0,40 	0,59 	0,55 	0,28 	0,30 	0,39 	0,36 	0,23 	0,27 	0,32 	0,22 	0,17 	0,20 	0,20 	0,18 	0,19 	0,16 	0,19 	0,14 	0,13 	0,17 	0,16 	0,14	0,16	0,13	0,12	0,14	0,13	0,17	0,17	0,11	0,15	0,16	0,16	0,10	0,10	0,14	0,15	0,11	0,08
fuel_used_gas	5,91 	5,36 	5,41 	6,34 	6,97 	6,28 	6,41 	7,46 	7,58 	6,68 	6,54 	7,11 	7,05 	6,76 	6,24 	6,82 	7,10 	7,14 	7,17 	6,96 	6,84 	6,58 	7,07 	7,42 	7,20 	7,04 	7,36 	7,66 	6,79 	7,37 	7,65 	6,71 	5,80 	6,42 	6,91 	7,65 	8,12 	8,11 	6,89 	7,48 	8,57 	7,88 	8,39 	7,56 	7,11 	7,19 	7,90 	8,69 	8,88 	8,44 	7,53 	7,57 	7,00 	6,70 	6,92 	5,96 	5,11 	4,64 	4,24 	4,63 	5,08 	4,37	3,89	4,36	4,11	4,36	5,35	4,91	4,40	4,28	4,76	4,85	6,18	6,13	5,88	7,43	6,78	5,74	5,47	6,60	6,64	5,71
fuel_used_nuclear	6,03 	5,49 	5,33 	6,27 	6,13 	5,76 	5,02 	5,31 	5,30 	4,86 	4,55 	4,92 	5,25 	4,65 	5,16 	5,70 	5,62 	4,93 	4,72 	4,83 	5,54 	5,07 	4,71 	4,72 	5,34 	4,22 	4,24 	4,36 	5,06 	4,46 	4,59 	4,27 	5,08 	4,50 	4,27 	3,28 	3,46 	3,37 	3,86 	3,35 	3,28 	2,77 	2,74 	3,12 	3,74 	3,99 	3,91 	3,59 	4,08 	3,11 	2,92 	3,82 	4,41 	4,34 	3,57 	3,31 	3,71 	4,00 	3,89 	3,60 	4,00 	3,38	4,09	3,97	3,59	3,80	3,40	3,05	4,00	3,72	3,64	4,11	3,73	3,58	4,05	4,06	3,79	3,83	3,91	3,59	3,58	3,58
fuel_used_hydro	0,16 	0,07 	0,07 	0,13 	0,16 	0,09 	0,06 	0,14 	0,18 	0,06 	0,05 	0,15 	0,09 	0,05 	0,05 	0,16 	0,17 	0,10 	0,06 	0,09 	0,08 	0,06 	0,04 	0,09 	0,13 	0,06 	0,08 	0,14 	0,14 	0,09 	0,06 	0,13 	0,10 	0,08 	0,06 	0,16 	0,17 	0,07 	0,08 	0,11 	0,17 	0,07 	0,06 	0,14 	0,13 	0,08 	0,10 	0,14 	0,07 	0,06 	0,07 	0,11 	0,11 	0,10 	0,11 	0,17 	0,16 	0,07 	0,09 	0,14 	0,11 	0,08	0,06	0,15	0,19	0,10	0,07	0,15	0,17	0,12	0,09	0,16	0,19	0,08	0,10	0,11	0,16	0,08	0,11	0,16	0,12	0,07
fuel_used_wind_solar	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,02 	0,03 	0,03 	0,03 	0,02 	0,02 	0,04 	0,04 	0,03 	0,04 	0,05 	0,06 	0,05 	0,06 	0,08 	0,09 	0,07 	0,09 	0,12 	0,14 	0,08 	0,10 	0,13 	0,19 	0,11 	0,11 	0,20 	0,25 	0,17 	0,18 	0,22 	0,21 	0,14 	0,24 	0,30 	0,29 	0,32 	0,27 	0,52 	0,45 	0,37 	0,42 	0,58 	0,60 	0,62	0,48	0,93	0,99	0,57	0,58	0,96	1,10	0,98	0,85	1,18	1,12	0,96	1,03	1,00	1,25	1,27	1,17	1,60	1,67	1,28
fuel_used_bioenergy	0,27 	0,28 	0,29 	0,30 	0,33 	0,34 	0,36 	0,36 	0,37 	0,38 	0,40 	0,41 	0,45 	0,45 	0,48 	0,49 	0,51 	0,50 	0,51 	0,55 	0,57 	0,58 	0,60 	0,67 	0,62 	0,65 	0,70 	0,79 	0,84 	0,78 	0,81 	0,92 	0,95 	0,79 	0,81 	0,93 	0,89 	0,81 	0,79 	0,93 	0,87 	0,84 	0,84 	0,99 	1,03 	0,91 	0,90 	1,03 	1,05 	1,05 	1,10 	1,13 	1,15 	1,12 	1,16 	1,18 	1,29 	1,10 	1,21 	1,34 	1,25 	2,85	1,32	1,33	1,39	1,60	1,71	1,89	2,01	2,03	2,07	2,32	2,66	2,54	2,25	2,55	2,93	2,70	2,73	2,60	2,64	2,88
fuel_used_other_fuels	0,36 	0,34 	0,37 	0,31 	0,37 	0,34 	0,37 	0,31 	0,33 	0,30 	0,33 	0,39 	0,32 	0,30 	0,21 	0,21 	0,26 	0,23 	0,28 	0,30 	0,40 	0,37 	0,36 	0,39 	0,33 	0,30 	0,33 	0,43 	0,46 	0,46 	0,49 	0,48 	0,43 	0,42 	0,35 	0,34 	0,31 	0,32 	0,34 	0,29 	0,29 	0,31 	0,26 	0,27 	0,23 	0,23 	0,25 	0,28 	0,23 	0,19 	0,20 	0,17 	0,28 	0,26 	0,29 	0,16 	0,20 	0,20 	0,27 	0,26 	0,34 	0,38	0,34	0,35	0,41	0,37	0,42	0,43	0,49	0,43	0,51	0,28	0,46	0,45	0,45	0,54	0,44	0,44	0,38	0,43	0,43	0,43
fuel_used_net_imports	0,36 	0,34 	0,07 	0,29 	0,31 	0,32 	0,28 	0,31 	0,28 	0,32 	0,32 	0,30 	0,28 	0,23 	0,23 	0,16 	0,16 	0,24 	0,06 	0,27 	0,07 	0,03 	-0,02 	0,11 	0,11 	0,14 	0,18 	0,21 	0,12 	0,18 	0,17 	0,25 	0,12 	0,25 	0,14 	0,14 	0,10 	0,08 	0,23 	0,05 	0,21 	0,31 	0,32 	0,11 	0,05 	0,24 	0,07 	-0,11 	-0,15 	0,12 	0,24 	0,02 	0,09 	0,13 	0,20 	0,11 	0,17 	0,27 	0,35 	0,23 	0,24 	0,31 	0,40 	0,29 	0,42	0,44	0,47	0,44	0,43	0,48	0,51	0,40	0,52	0,46	0,41	0,14	0,22	0,45	0,46	0,14	0,46	0,45
fuel_used_total	22,41 	19,21 	18,63 	21,80 	22,18 	18,92 	18,31 	21,53 	22,19 	19,33 	18,81 	22,09 	23,63 	19,81 	19,05 	22,42 	23,15 	19,13 	19,09 	22,38 	23,55 	20,05 	19,50 	23,09 	23,92 	18,85 	19,37 	23,07 	24,05 	20,21 	19,60 	23,53 	25,14 	20,08 	19,65 	22,84 	22,87 	19,32 	19,14 	23,40 	22,46 	19,26 	18,71 	22,09 	22,50 	17,96 	17,57 	20,67 	22,37 	18,01 	17,39 	21,87 	21,90 	17,74 	17,37 	20,02 	21,31 	18,30 	17,65 	20,79 	21,65 	19,00 	17,23 	19,64 	19,52 	16,66 	15,99 	18,51 	19,78	16,02	15,76	17,75	18,53	15,48	15,08	18,07	18,16	15,03	14,92	17,37	17,83	14,81
