year	month	pds_energy_available	pds_transmission_distribution_and_other_losses1	pds_setc_england_and_wales	pds_setc_scotland	pds_setc_northern_ireland	pds_setc_total	pds_setc_industrial	pds_setc_domestic	pds_setc_other	og_electricity_available	og_losses_and_statistical_differences	og_consumption_of_electricity	aes_electricity_available	aes_losses_and_statistical_differences	aes_consumption_of_electricity
1995	January	28,50 	2,86 				25,64 	7,76 	10,03 	7,85 	1,35 	0,01 	1,34 	29,85 	2,87 	26,98 
1995	February	27,88 	2,69 				25,19 	7,96 	9,66 	7,56 	1,33 	0,01 	1,32 	29,20 	2,70 	26,50 
1995	March*	33,33 	3,21 				30,12 	9,28 	12,22 	8,62 	1,58 	0,01 	1,57 	34,91 	3,22 	31,69 
1995	April 	23,88 	2,28 				21,60 	7,05 	7,81 	6,75 	1,27 	0,03 	1,25 	25,16 	2,31 	22,85 
1995	May	22,61 	2,09 				20,52 	7,56 	6,54 	6,42 	1,21 	0,03 	1,18 	23,82 	2,12 	21,70 
1995	June*	26,05 	2,08 				23,97 	8,67 	7,51 	7,79 	1,40 	0,04 	1,36 	27,45 	2,12 	25,33 
1995	July	21,13 	1,71 				19,42 	7,31 	5,67 	6,44 	1,14 	0,02 	1,13 	22,27 	1,72 	20,55 
1995	August	21,14 	1,74 				19,39 	7,37 	5,57 	6,46 	1,14 	0,02 	1,13 	22,28 	1,76 	20,52 
1995	September*	27,45 	2,58 				24,87 	8,85 	7,94 	8,08 	1,49 	0,03 	1,46 	28,94 	2,61 	26,33 
1995	October	23,99 	2,17 				21,82 	7,55 	7,27 	7,00 	1,23 	-0,05 	1,28 	25,22 	2,12 	23,10 
1995	November	26,68 	2,87 				23,81 	7,67 	8,72 	7,42 	1,37 	-0,06 	1,43 	28,05 	2,81 	25,24 
1995	December*	35,27 	4,03 				31,24 	8,48 	13,29 	9,47 	1,81 	-0,07 	1,88 	37,09 	3,96 	33,13 
1996	January	28,89 	2,23 				26,66 	8,08 	10,40 	8,18 	1,49 	0,01 	1,48 	30,38 	2,24 	28,15 
1996	February	30,14 	3,06 				27,08 	8,21 	10,90 	7,97 	1,58 	0,02 	1,56 	31,72 	3,09 	28,63 
1996	March*	35,13 	3,19 				31,94 	10,15 	12,60 	9,19 	1,74 	-0,05 	1,78 	36,86 	3,14 	33,72 
1996	April 	24,76 	2,64 				22,13 	7,29 	7,98 	6,86 	1,37 	-0,05 	1,41 	26,13 	2,59 	23,54 
1996	May	24,00 	2,62 				21,38 	7,43 	7,27 	6,68 	1,39 	-0,03 	1,42 	25,39 	2,60 	22,80 
