|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
0|C00083RAEN|Drax Biomass Conversion|England|1295000|Dedicated biomass|RO|2003-03-01|2013-04-02|79.2%|68.4%|2018-03|7761720.0|7761720.0
1|INVDRX001|DRAX Biomass Conversion CfD|England|645000|Dedicated biomass|CfD|2016-12-21|2016-12-21|71.2%|73.0%|2018-06|4124530.0|
2|R00021RPEN|London Array Offshore Windfarm|England|630000|Off-shore wind|RO|2012-11-04|2012-11-04|40.9%|41.3%|2018-04|2278850.0|4231750.0
3|R00080RAEN|Tilbury Dedicated Biomass Power Station|England|1131000|Dedicated biomass|RO|2002-08-01|1968-01-01|45.4%|62.4%|2013-08|4100710.0|5353980.0
4|R00032RPEN|Race Bank|England|573300|Off-shore wind|RO|2017-06-08|2017-06-08|||2018-05|1869200.0|2774550.0
5|R00014RPEN|Greater Gabbard|England|504000|Off-shore wind|RO|2011-02-23|2011-02-23|37.9%|43.2%|2018-05|1908480.0|3324630.0
6|R00007RPWA|Gwynt y Mor|Wales|576000|Off-shore wind|RO|2013-09-30|2013-09-30|27.6%|40.1%|2018-04|2021250.0|3805780.0
7|R00083RAEN|Drax Power Station (RB) - A,C,E|England|602397|Biomass co-firing|RO|2003-03-01|1974-01-01|76.9%|66.9%|2016-12|4631690.0|4168690.0
8|C00077RAEN|Ironbridge Biomass Conversion|England|770000|Dedicated biomass|RO|2002-04-01|1969-06-01|22.8%|27.2%|2015-11|1835620.0|1835620.0
9|R00027RPEN|West of Duddon Sands Offshore Wind Farm|England|388800|Off-shore wind|RO|2014-02-10|2014-02-10|43.5%|48.0%|2018-04|1633350.0|3153920.0
10|G01178FWEN|Dudgeon Offshore Windfarm|England|402000|Off-shore wind|CfD|2017-09-19|2017-09-06|||2018-04|1266520.0|
11|R00022RPEN|Sheringham Shoal|England|317000|Off-shore wind|RO|2011-09-02|2011-09-02|37.2%|42.1%|2018-05|1168720.0|2039390.0
12|R00015RPEN|Thanet Offshore Wind Farm|England|300000|Off-shore wind|RO|2010-07-02|2010-07-02|32.5%|35.1%|2018-04|922409.0|1710960.0
13|R00025RPEN|Lincs Wind Farm|England|270000|Off-shore wind|RO|2012-08-27|2012-08-27|38.4%|44.7%|2018-05|1057850.0|1832980.0
14|R00028RPEN|Westermost Rough|England|210000|Off-shore wind|RO|2014-09-12|2014-09-12|44.2%|51.9%|2018-05|954520.0|1633060.0
15|R00023RPEN|Walney Offshore Wind Phase II|England|183600|Off-shore wind|RO|2011-08-25|2011-08-25|44.2%|47.6%|2018-05|766264.0|1405280.0
16|R00029RPEN|Humber Gateway Offshore Wind Farm|England|219000|Off-shore wind|RO|2015-03-02|2015-03-02|42.9%|45.0%|2018-04|864044.0|1594120.0
